Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
27.0,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,1,あ1,い1,う1,え2,お2,か1,き1,く2,け2,こ2,さ2,し1,す1,せ1,そ1,た2,ち2,つ2,て2,と1,な1,に2,ぬ2,ね1,の1,は1,ひ1,ふ2,へ2,ほ2,ま2,み1,む1,め1,も1,や2,ゆ2
28.0,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,1,あ1,い1,う1,え2,お2,か2,き2,く1,け1,こ1,さ1,し2,す2,せ2,そ2,た1,ち1,つ1,て1,と2,な2,に1,ぬ1,ね2,の2,は2,ひ2,ふ1,へ1,ほ1,ま1,み2,む2,め2,も2,や1,ゆ1
29.0,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,あ1,い1,う1,え2,お2,か1,き1,く2,け2,こ2,さ2,し1,す1,せ2,そ2,た1,ち1,つ1,て1,と2,な2,に1,ぬ1,ね2,の2,は2,ひ2,ふ1,へ1,ほ2,ま2,み1,む1,め1,も1,や2,ゆ2
30.0,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,あ1,い1,う1,え2,お2,か2,き2,く1,け1,こ1,さ1,し2,す2,せ1,そ1,た2,ち2,つ2,て2,と1,な1,に2,ぬ2,ね1,の1,は1,ひ1,ふ2,へ2,ほ1,ま1,み2,む2,め2,も2,や1,ゆ1
31.0,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,あ2,い2,う2,え1,お1,か1,き1,く2,け2,こ2,さ2,し1,す1,せ2,そ2,た1,ち1,つ1,て1,と2,な2,に2,ぬ2,ね1,の1,は1,ひ1,ふ2,へ2,ほ1,ま1,み2,む2,め2,も2,や1,ゆ1
32.0,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,あ2,い2,う2,え1,お1,か2,き2,く1,け1,こ1,さ1,し2,す2,せ1,そ1,た2,ち2,つ2,て2,と1,な1,に1,ぬ1,ね2,の2,は2,ひ2,ふ1,へ1,ほ2,ま2,み1,む1,め1,も1,や2,ゆ2
33.0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,あ2,い1,う2,え1,お2,か1,き2,く1,け2,こ1,さ2,し1,す2,せ1,そ2,た1,ち2,つ1,て2,と1,な2,に1,ぬ2,ね1,の2,は1,ひ2,ふ1,へ2,ほ1,ま2,み1,む2,め1,も2,や1,ゆ2
34.0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,あ2,い1,う2,え1,お2,か2,き1,く2,け1,こ2,さ1,し2,す1,せ2,そ1,た2,ち1,つ2,て1,と2,な1,に2,ぬ1,ね2,の1,は2,ひ1,ふ2,へ1,ほ2,ま1,み2,む1,め2,も1,や2,ゆ1
35.0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,あ1,い2,う1,え2,お1,か1,き2,く1,け2,こ1,さ2,し1,す2,せ1,そ2,た1,ち2,つ1,て2,と1,な2,に2,ぬ1,ね2,の1,は2,ひ1,ふ2,へ1,ほ2,ま1,み2,む1,め2,も1,や2,ゆ1
36.0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,あ1,い2,う1,え2,お1,か2,き1,く2,け1,こ2,さ1,し2,す1,せ2,そ1,た2,ち1,つ2,て1,と2,な1,に1,ぬ2,ね1,の2,は1,ひ2,ふ1,へ2,ほ1,ま2,み1,む2,め1,も2,や1,ゆ2
37.0,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,2,1,2,あ1,い2,う1,え2,お1,か1,き2,く1,け2,こ1,さ2,し1,す2,せ2,そ1,た2,ち1,つ2,て1,と2,な1,に1,ぬ2,ね1,の2,は1,ひ2,ふ1,へ2,ほ2,ま1,み2,む1,め2,も1,や2,ゆ1
38.0,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,2,1,2,あ1,い2,う1,え2,お1,か2,き1,く2,け1,こ2,さ1,し2,す1,せ1,そ2,た1,ち2,つ1,て2,と1,な2,に2,ぬ1,ね2,の1,は2,ひ1,ふ2,へ1,ほ1,ま2,み1,む2,め1,も2,や1,ゆ2
39.0,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,あ2,い1,う2,え1,お2,か1,き2,く1,け2,こ1,さ2,し1,す2,せ2,そ1,た2,ち1,つ2,て1,と2,な1,に2,ぬ1,ね2,の1,は2,ひ1,ふ2,へ1,ほ1,ま2,み1,む2,め1,も2,や1,ゆ2
40.0,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,あ2,い1,う2,え1,お2,か2,き1,く2,け1,こ2,さ1,し2,す1,せ1,そ2,た1,ち2,つ1,て2,と1,な2,に1,ぬ2,ね1,の2,は1,ひ2,ふ1,へ2,ほ2,ま1,み2,む1,め2,も1,や2,ゆ1
41.0,2,1,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,あ2,い2,う1,え2,お1,か1,き2,く1,け2,こ2,さ1,し2,す1,せ1,そ2,た1,ち2,つ2,て1,と2,な1,に1,ぬ2,ね1,の2,は2,ひ1,ふ2,へ1,ほ1,ま2,み1,む2,め2,も1,や2,ゆ1
42.0,2,1,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,あ2,い2,う1,え2,お1,か2,き1,く2,け1,こ1,さ2,し1,す2,せ2,そ1,た2,ち1,つ1,て2,と1,な2,に2,ぬ1,ね2,の1,は1,ひ2,ふ1,へ2,ほ2,ま1,み2,む1,め1,も2,や1,ゆ2
43.0,2,1,2,2,1,2,1,1,2,1,2,2,1,2,1,2,1,2,1,1,2,1,2,2,1,2,あ1,い1,う2,え1,お2,か1,き2,く1,け2,こ2,さ1,し2,す1,せ1,そ2,た1,ち2,つ2,て1,と2,な1,に2,ぬ1,ね2,の1,は1,ひ2,ふ1,へ2,ほ2,ま1,み2,む1,め1,も2,や1,ゆ2
44.0,2,1,2,2,1,2,1,1,2,1,2,2,1,2,1,2,1,2,1,1,2,1,2,2,1,2,あ1,い1,う2,え1,お2,か2,き1,く2,け1,こ1,さ2,し1,す2,せ2,そ1,た2,ち1,つ1,て2,と1,な2,に1,ぬ2,ね1,の2,は2,ひ1,ふ2,へ1,ほ1,ま2,み1,む2,め2,も1,や2,ゆ1
45.0,2,1,2,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2,あ1,い1,う2,え1,お2,か1,き2,く1,け2,こ2,さ1,し2,す1,せ2,そ1,た2,ち1,つ1,て2,と1,な2,に1,ぬ2,ね1,の2,は2,ひ1,ふ2,へ1,ほ2,ま1,み2,む1,め1,も2,や1,ゆ2
46.0,2,1,2,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2,あ1,い1,う2,え1,お2,か2,き1,く2,け1,こ1,さ2,し1,す2,せ1,そ2,た1,ち2,つ2,て1,と2,な1,に2,ぬ1,ね2,の1,は1,ひ2,ふ1,へ2,ほ1,ま2,み1,む2,め2,も1,や2,ゆ1
47.0,2,1,2,2,1,2,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,2,1,2,1,あ2,い2,う1,え2,お1,か1,き2,く1,け2,こ2,さ1,し2,す1,せ2,そ1,た2,ち1,つ1,て2,と1,な2,に2,ぬ1,ね2,の1,は1,ひ2,ふ1,へ2,ほ1,ま2,み1,む2,め2,も1,や2,ゆ1
48.0,2,1,2,2,1,2,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,2,1,2,1,あ2,い2,う1,え2,お1,か2,き1,く2,け1,こ1,さ2,し1,す2,せ1,そ2,た1,ち2,つ2,て1,と2,な1,に1,ぬ2,ね1,の2,は2,ひ1,ふ2,へ1,ほ2,ま1,み2,む1,め1,も2,や1,ゆ2
49.0,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,あ1,い1,う2,え2,お1,か1,き2,く2,け1,こ1,さ2,し2,す1,せ1,そ2,た2,ち1,つ1,て2,と2,な1,に1,ぬ2,ね2,の1,は1,ひ2,ふ2,へ1,ほ1,ま2,み2,む1,め1,も2,や2,ゆ1
50.0,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,あ1,い1,う2,え2,お1,か2,き1,く1,け2,こ2,さ1,し1,す2,せ2,そ1,た1,ち2,つ2,て1,と1,な2,に2,ぬ1,ね1,の2,は2,ひ1,ふ1,へ2,ほ2,ま1,み1,む2,め2,も1,や1,ゆ2
51.0,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,2,1,1,2,2,1,1,2,2,1,1,あ2,い2,う1,え1,お2,か1,き2,く2,け1,こ1,さ2,し2,す1,せ1,そ2,た2,ち1,つ1,て2,と2,な1,に2,ぬ1,ね1,の2,は2,ひ1,ふ1,へ2,ほ2,ま1,み1,む2,め2,も1,や1,ゆ2
