Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
31.0,2,1,2,3,2,3,1,2,3,1,2,3,1,1,2,3,1,2,3,1,2,3,2,3,1,2,あ3,い1,う2,え3,お1,か3,き1,く2,け3,こ1,さ2,し3,す1,せ2
32.0,2,1,2,3,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,3,1,2,3,あ1,い2,う3,え1,お2,か1,き2,く3,け1,こ2,さ3,し1,す2,せ3
33.0,2,1,2,3,2,3,1,2,3,1,2,3,1,3,1,2,3,1,2,3,1,2,1,2,3,1,あ2,い3,う1,え2,お3,か2,き3,く1,け2,こ3,さ1,し2,す3,せ1
34.0,2,1,2,3,3,1,2,3,1,2,3,1,2,1,2,3,1,2,3,1,2,3,3,1,2,3,あ1,い2,う3,え1,お2,か2,き3,く1,け2,こ3,さ1,し2,す3,せ1
35.0,2,1,2,3,3,1,2,3,1,2,3,1,2,2,3,1,2,3,1,2,3,1,1,2,3,1,あ2,い3,う1,え2,お3,か3,き1,く2,け3,こ1,さ2,し3,す1,せ2
36.0,2,1,2,3,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,2,3,1,2,あ3,い1,う2,え3,お1,か1,き2,く3,け1,こ2,さ3,し1,す2,せ3
37.0,2,2,3,1,1,2,3,2,3,1,3,1,2,1,2,3,2,3,1,3,1,2,1,2,3,2,あ3,い1,う3,え1,お2,か1,き2,く3,け2,こ3,さ1,し3,す1,せ2
38.0,2,2,3,1,1,2,3,2,3,1,3,1,2,2,3,1,3,1,2,1,2,3,2,3,1,3,あ1,い2,う1,え2,お3,か2,き3,く1,け3,こ1,さ2,し1,す2,せ3
39.0,2,2,3,1,1,2,3,2,3,1,3,1,2,3,1,2,1,2,3,2,3,1,3,1,2,1,あ2,い3,う2,え3,お1,か3,き1,く2,け1,こ2,さ3,し2,す3,せ1
40.0,2,2,3,1,2,3,1,3,1,2,1,2,3,1,2,3,2,3,1,3,1,2,2,3,1,3,あ1,い2,う1,え2,お3,か3,き1,く2,け1,こ2,さ3,し2,す3,せ1
